Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,Us-2023-103800,2023-01-03,2023-01-07,Standard Class,Dp-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,Off-Pa-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.551199999999998
2,Us-2023-112326,2023-01-04,2023-01-08,Standard Class,Po-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,Off-Bi-10004094,Office Supplies,Binders,Gbc Standard Plastic Binding Systems Combs,3.539999999999999,2,0.8,-5.487
3,Us-2023-112326,2023-01-04,2023-01-08,Standard Class,Po-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,Off-La-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.271699999999999
4,Us-2023-112326,2023-01-04,2023-01-08,Standard Class,Po-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,Off-St-10002743,Office Supplies,Storage,Safco Boltless Steel Shelving,272.736,3,0.2,-64.77480000000001
5,Us-2023-141817,2023-01-05,2023-01-12,Standard Class,Mb-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Off-Ar-10003478,Office Supplies,Art,"Avery Hi-Liter Everbold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884
6,Us-2023-167199,2023-01-06,2023-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Fur-Ch-10004063,Furniture,Chairs,Global Deluxe High-Back Manager'S Chair,2573.82,9,0.0,746.4077999999997
7,Us-2023-167199,2023-01-06,2023-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Off-Ar-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.0,1.4796000000000005
8,Us-2023-106054,2023-01-06,2023-01-07,First Class,Jo-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,Off-Ar-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set With Brush",12.78,3,0.0,5.2398
9,Us-2023-167199,2023-01-06,2023-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Off-Bi-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0.0,274.491
10,Us-2023-167199,2023-01-06,2023-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Off-Fa-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.0,0.3111999999999995
11,Us-2023-167199,2023-01-06,2023-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Off-Pa-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0.0,3.0084
12,Us-2023-130813,2023-01-06,2023-01-08,Second Class,Ls-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,Off-Pa-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0.0,9.3312
13,Us-2023-167199,2023-01-06,2023-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Tec-Ph-10004539,Technology,Phones,Wireless Extenders Zboost Yx545 Soho Signal Booster,755.96,4,0.0,204.1092
14,Us-2023-167199,2023-01-06,2023-01-10,Standard Class,Me-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Tec-Ph-10004977,Technology,Phones,Ge 30524Ee4,391.98,2,0.0,113.67419999999998
15,Us-2023-105417,2023-01-07,2023-01-12,Standard Class,Vs-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,Fur-Fu-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.72800000000001,3,0.6,-53.70959999999999
16,Us-2023-105417,2023-01-07,2023-01-12,Standard Class,Vs-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,Off-Bi-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder With Label Holder, Smoke, 1""",10.429999999999998,7,0.8,-18.252500000000005
17,Us-2023-135405,2023-01-09,2023-01-13,Standard Class,Ms-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,Off-Ar-10004078,Office Supplies,Art,Newell 312,9.344,2,0.2,1.1679999999999997
18,Us-2023-135405,2023-01-09,2023-01-13,Standard Class,Ms-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,Tec-Ac-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 Gb,31.200000000000003,3,0.2,9.749999999999996
19,Us-2023-149020,2023-01-10,2023-01-15,Standard Class,Aj-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,Fur-Fu-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0.0,21.2954
20,Us-2023-149020,2023-01-10,2023-01-15,Standard Class,Aj-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,Off-La-10004272,Office Supplies,Labels,Avery 482,2.89,1,0.0,1.3583
21,Us-2023-130092,2023-01-11,2023-01-14,First Class,Sv-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,Fur-Fu-10000010,Furniture,Furnishings,"Dax Value U-Channel Document Frames, Easel Back",9.94,2,0.0,3.0813999999999995
22,Us-2023-157147,2023-01-13,2023-01-18,Standard Class,Bd-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,Fur-Bo-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.99899999999997,3,0.15,3.929400000000008
23,Us-2023-109232,2023-01-13,2023-01-16,Second Class,Nd-18370,Natalie Decherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,Fur-Ch-10000422,Furniture,Chairs,Global Highback Leather Tilter In Burgundy,545.9399999999999,6,0.0,87.35040000000004
24,Us-2023-157147,2023-01-13,2023-01-18,Standard Class,Bd-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,Off-Ar-10003514,Office Supplies,Art,4009 Highlighters By Sanford,19.9,5,0.0,6.566999999999998
25,Us-2023-118192,2023-01-13,2023-01-18,Standard Class,Mm-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,Off-Bi-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.4380000000000006,2,0.7,-2.5212000000000003
26,Us-2023-162775,2023-01-13,2023-01-15,Second Class,Cs-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Off-Bi-10004187,Office Supplies,Binders,3-Ring Staple Pack,5.64,3,0.0,2.7071999999999994
27,Us-2023-162775,2023-01-13,2023-01-15,Second Class,Cs-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Off-En-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0.0,25.47
28,Us-2023-162775,2023-01-13,2023-01-15,Second Class,Cs-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Off-En-10001990,Office Supplies,Envelopes,Staple Envelope,11.36,2,0.0,5.339199999999999
29,Us-2023-118192,2023-01-13,2023-01-18,Standard Class,Mm-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,Off-Pa-10002947,Office Supplies,Paper,Xerox 1923,37.408,7,0.2,13.0928
30,Us-2023-162775,2023-01-13,2023-01-15,Second Class,Cs-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,Off-St-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0.0,34.354799999999955
